rank,avg_ev,pred_ev,,
1,102.73,95.81,,
2,83.23,82.34,,
3,72.43,74.46,,
4,71.45,68.87,,
5,66.49,64.53,,
6,60.27,60.99,,
7,55.24,58,,
8,49.75,55.4,,
9,50.87,53.11,,
10,46.86,51.06,,
11,50.14,49.21,,
12,47.03,47.52,,
13,43.47,45.96,,
14,42.83,44.52,,
15,42.85,43.18,,
16,44.57,41.93,,
17,43.12,40.75,,
18,39.03,39.64,,
19,39.15,38.59,,
20,33.66,37.59,,
21,33.45,36.64,,
22,28.52,35.74,,
23,30.45,34.88,,
24,27.79,34.05,,
25,28.77,33.26,,
26,29.14,32.49,,
27,31.07,31.76,,
28,31.34,30.9,,
29,37.86,30.07,,
30,37.32,29.27,,
31,39.38,28.5,,
32,40.75,27.77,,
33,42.31,27.07,,
34,38.84,26.41,,
35,41.08,25.78,,
36,35.64,25.19,,
37,34.48,24.64,,
38,31.03,24.22,,
39,29.57,23.82,,
40,26.97,23.43,,
41,29.08,23.06,,
42,27.41,22.7,,
43,24.63,22.35,,
44,22.96,22.02,,
45,24,21.7,,
46,23.65,21.4,,
47,26.34,21.1,,
48,25.75,20.81,,
49,23.87,20.54,,
50,28.07,20.27,,
51,25.37,20.01,,
52,22.39,19.76,,
53,23.02,19.52,,
54,22.61,19.28,,
55,21.55,19.05,,
56,22.12,18.83,,
57,23.53,18.62,,
58,23.16,18.41,,
59,20.93,18.21,,
60,21.58,18.01,,
61,16.58,17.82,,
62,16.07,17.63,,
63,16.82,17.45,,
64,16.47,17.27,,
65,16.59,17.1,,
66,16.69,16.93,,
67,13.85,16.76,,
68,10.68,16.6,,
69,10.67,16.45,,
70,11,16.29,,
71,11.87,16.15,,
72,11.96,16,,
73,11.29,15.86,,
74,11.66,15.72,,
75,11.62,15.58,,
76,11.09,15.45,,
77,11.68,15.32,,
78,13.2,15.19,,
79,12.69,15.06,,
80,10.78,14.94,,
81,10.76,14.82,,
82,9.29,14.7,,
83,9.1,14.59,,
84,8.88,14.48,,
85,7.75,14.37,,
86,5.83,14.26,,
87,8.38,14.15,,
88,8.94,14.05,,
89,8.18,13.94,,
90,8.35,13.84,,
91,9.01,13.74,,
92,8.75,13.65,,
93,12.68,13.55,,
94,13.92,13.46,,
95,14.19,13.37,,
96,14.72,13.27,,
97,15.48,13.19,,
98,13.89,13.1,,
99,12.59,13.01,,
100,12.58,12.93,,
101,12.63,12.84,,
102,11.62,12.76,,
103,11.56,12.68,,
104,7.72,12.6,,
105,8.13,12.52,,
106,10.68,12.45,,
107,10.78,12.37,,
108,10.53,12.3,,
109,9.84,12.22,,
110,10.71,12.15,,
111,11.39,12.08,,
112,13.98,12.01,,
113,16.57,11.94,,
114,16.41,11.87,,
115,16.4,11.81,,
116,18.79,11.74,,
117,18.03,11.68,,
118,18.33,11.61,,
119,17.99,11.55,,
120,18.55,11.49,,
121,18.13,11.42,,
122,16.97,11.36,,
123,16.44,11.3,,
124,14.06,11.24,,
125,14.35,11.18,,
126,14.88,11.13,,
127,12.03,11.07,,
128,10.16,11.01,,
129,9.19,10.96,,
130,9.65,10.9,,
131,8.71,10.85,,
132,12,10.8,,
133,12.6,10.74,,
134,10.69,10.69,,
135,10.76,10.64,,
136,10.69,10.59,,
137,11.44,10.54,,
138,12.35,10.49,,
139,12.6,10.44,,
140,12.7,10.39,,
141,12.17,10.34,,
142,12.21,10.3,,
143,8.84,10.25,,
144,7.79,10.2,,
145,7.54,10.16,,
146,9.08,10.11,,
147,12.31,10.07,,
148,10.8,10.02,,
149,8.6,9.98,,
150,8.31,9.94,,
151,10.44,9.89,,
152,12.98,9.85,,
153,12.49,9.81,,
154,15.34,9.77,,
155,18.89,9.73,,
156,20.55,9.69,,
157,19.2,9.65,,
158,15.84,9.61,,
159,15.58,9.57,,
160,15.91,9.53,,
161,18.14,9.49,,
162,15.59,9.45,,
163,12.98,9.42,,
164,13.58,9.38,,
165,10.36,9.34,,
166,7.19,9.3,,
167,5.8,9.27,,
168,5.61,9.23,,
169,5.51,9.2,,
170,5.82,9.16,,
171,6.97,9.13,,
172,4.98,9.09,,
173,5.52,9.06,,
174,5.27,9.02,,
175,7.1,8.99,,
176,7.33,8.96,,
177,7.19,8.93,,
178,6.89,8.89,,
179,9,8.86,,
180,9.78,8.83,,
181,9.74,8.8,,
182,9.95,8.77,,
183,9.81,8.73,,
184,9.39,8.7,,
185,9.73,8.67,,
186,7.35,8.64,,
187,7.09,8.61,,
188,7.19,8.58,,
189,7.18,8.55,,
190,4.81,8.52,,
